time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-10-18T11:45:24.483Z,60.0732,-141.0845,9.7,3,ml,,,,0.58,ak,ak024df3qsyo,2024-10-18T11:47:38.470Z,"96 km NW of Yakutat, Alaska",earthquake,,0.2,,,automatic,ak,ak
2024-10-18T10:26:15.917Z,15.9246,-94.7285,63.232,4.7,mb,46,160,2.516,1.23,us,us6000nzic,2024-10-18T11:15:47.791Z,"35 km SSW of San Francisco del Mar Viejo, Mexico",earthquake,9.12,9.84,0.055,100,reviewed,us,us
2024-10-18T09:42:44.659Z,56.7821,-156.3988,7.7,3.3,ml,,,,0.5,ak,ak024df2jc5t,2024-10-18T10:22:22.040Z,"101 km SE of Ugashik, Alaska",earthquake,,0.5,,,automatic,ak,ak
2024-10-18T09:19:02.700Z,17.964666666667,-65.3775,8.86,3.21,md,12,214,0.3527,0.26,pr,pr71462943,2024-10-18T09:51:53.690Z,"17 km SE of Esperanza, Puerto Rico",earthquake,1.06,0.99,0.29729367812669,9,reviewed,pr,pr
2024-10-18T09:18:22.191Z,25.249,142.7832,1.801,5.4,mww,95,84,1.916,0.86,us,us6000nzi5,2024-10-18T11:24:29.980Z,"Volcano Islands, Japan region",earthquake,8.88,4.49,0.059,28,reviewed,us,us
2024-10-18T09:02:34.041Z,61.7467,-151.6561,91.5,2.5,ml,,,,0.49,ak,ak024df2aqpf,2024-10-18T09:08:12.040Z,"30 km SSW of Skwentna, Alaska",earthquake,,0.4,,,automatic,ak,ak
2024-10-18T08:25:40.370Z,31.6077,-104.4539,8.891,2.6,ml,16,113,0.696,0.42,us,us6000nzhw,2024-10-18T08:41:54.040Z,"63 km S of Whites City, New Mexico",earthquake,2.51,8.618,0.085,18,reviewed,us,us
2024-10-18T07:17:17.563Z,12.1484,-89.0917,10,4.5,mb,52,172,1.511,0.85,us,us6000nzhn,2024-10-18T08:11:07.040Z,"138 km SSW of Puerto El Triunfo, El Salvador",earthquake,7.67,1.882,0.085,40,reviewed,us,us
2024-10-18T05:50:19.902Z,47.5895,-128.9384,10,3.1,ml,19,137,0.354,0.95,us,us6000nzhd,2024-10-18T10:01:22.360Z,"283 km SW of Tofino, Canada",earthquake,5.51,2.006,0.055,44,reviewed,us,us
2024-10-18T05:49:50.489Z,31.666,-104.192,5.9589,2.8,ml,16,128,0.1,0.1,tx,tx2024umcy,2024-10-18T06:14:34.224Z,"54 km NW of Toyah, Texas",earthquake,0.47439234586762,1.0823007311634,0.3,12,reviewed,tx,tx
2024-10-18T05:34:08.060Z,18.017,-66.744166666667,14.22,2.56,md,16,128,0.1079,0.22,pr,pr71462908,2024-10-18T06:13:56.220Z,"2 km E of Magas Arriba, Puerto Rico",earthquake,0.45,0.96,0.2177809879153,8,reviewed,pr,pr
2024-10-18T05:26:53.220Z,17.896166666667,-66.747666666667,4.74,2.98,md,12,243,0.1376,0.12,pr,pr71462903,2024-10-18T11:32:54.224Z,"11 km SSW of Tallaboa, Puerto Rico",earthquake,0.56,0.35,0.18530090035495,5,reviewed,pr,pr
2024-10-18T05:26:02.710Z,18.205,-66.844666666667,26.97,2.71,md,26,61,0.1266,0.19,pr,pr71462893,2024-10-18T05:56:35.790Z,"10 km SSE of Lares, Puerto Rico",earthquake,0.36,0.78,0.13954155718948,11,reviewed,pr,pr
2024-10-18T05:25:16.936Z,-7.5405,156.2994,10,4.9,mb,47,64,4.071,0.66,us,us6000nzhb,2024-10-18T05:55:27.040Z,"86 km NW of Gizo, Solomon Islands",earthquake,12.54,1.791,0.088,41,reviewed,us,us
2024-10-18T05:25:02.500Z,18.175666666667,-67.271,23.31,2.64,md,6,250,0.2278,0.1,pr,pr71462923,2024-10-18T07:58:38.910Z,"14 km WSW of Mayagüez, Puerto Rico",earthquake,0.77,1.53,0.037185092065542,2,reviewed,pr,pr
